StoreID,1/3/16,1/10/16,1/17/16,1/24/16,1/31/16,2/7/16,2/14/16,2/21/16,2/28/16,3/6/16,3/13/16,3/20/16,3/27/16,4/3/16,4/10/16,4/17/16,4/24/16,5/1/16,5/8/16,5/15/16,5/22/16,5/29/16,6/5/16,6/12/16,6/19/16,6/26/16,7/3/16,7/10/16,7/17/16,7/24/16,7/31/16,8/7/16,8/14/16,8/21/16,8/28/16,9/4/16,9/11/16,9/18/16,9/25/16,10/2/16,10/9/16,10/16/16,10/23/16,10/30/16,11/6/16,11/13/16,11/20/16,11/27/16,12/4/16,12/11/16,12/18/16,12/25/16
1,12476.0,15405.4,15963.3,18300.4,15689.7,19207.2,15430.2,16734.4,13671.4,14225.0,18919.7,16156.1,16036.5,17926.0,12036.0,17619.0,15319.0,18755.0,17029.0,14117.0,16012.0,13017.0,18200.0,16645.0,12280.0,19313.0,17033.0,17061.0,13805.0,15151.0,14836.0,13825.0,13520.0,13764.0,13248.0,15755.0,13518.0,17422.0,17362.0,13264.0,14185.0,15897.0,13892.0,17306.0,14818.0,15348.0,25178.0,16935.0,16003.0,26796.0,27192.0,16075.0
2,5714.6,5671.5,5578.9,6150.7,6568.6,9337.6,7694.1,5601.5,7265.4,6288.6,8317.7,6382.3,7963.3,6168.0,5336.0,5533.0,5615.0,6593.0,7114.0,5413.0,6469.0,5106.0,6502.0,7043.0,5051.0,7156.0,6788.0,6529.0,7434.0,6952.0,7150.0,7533.0,5504.0,6642.0,6509.0,5359.0,5375.0,6493.0,7160.0,7704.0,7075.0,6754.0,7423.0,8024.0,8212.0,6436.0,7497.0,7219.0,6783.0,10364.0,11701.0,8423.0
3,11890.1,14312.3,14327.3,13891.1,12669.8,12824.9,11579.9,10964.9,12880.9,15434.5,15361.3,15624.0,15499.1,13527.0,12006.0,12106.0,12517.0,14172.0,11581.0,12046.0,13622.0,14245.0,13342.0,12158.0,11997.0,12313.0,9996.0,13569.0,10791.0,13456.0,12513.0,13880.0,13804.0,11764.0,15000.0,10447.0,12682.0,12108.0,15381.0,11185.0,11823.0,13938.0,16007.0,11638.0,14653.0,14581.0,14896.0,16141.0,13715.0,15879.0,23658.0,16064.0
4,7910.6,8624.6,10655.8,8109.8,11141.6,11003.7,9540.1,8516.9,9639.2,8982.2,9484.1,11281.6,8120.6,9268.0,8329.0,8338.0,10886.0,10541.0,8992.0,9825.0,9237.0,9606.0,10357.0,9654.0,7947.0,11242.0,9788.0,9683.0,9006.0,8967.0,10940.0,10303.0,10814.0,9508.0,8565.0,7748.0,11247.0,11293.0,8431.0,8972.0,10066.0,8277.0,9989.0,10042.0,10289.0,12112.0,14623.0,10198.0,12511.0,13897.0,16656.0,11017.0
5,12642.9,14932.6,10716.2,15877.1,14025.8,13619.7,15462.5,12378.0,14282.1,13238.5,13780.2,15567.0,11332.2,13921.0,13983.0,12452.0,10347.0,12267.0,10476.0,14974.0,11837.0,10016.0,14575.0,10660.0,11136.0,13343.0,13178.0,13603.0,14182.0,11247.0,15025.0,11933.0,13394.0,14911.0,11027.0,11867.0,10570.0,11720.0,13500.0,12825.0,14770.0,11428.0,11274.0,14886.0,15811.0,14603.0,21343.0,14007.0,17104.0,16963.0,22435.0,19776.0
6,16593.3,14233.6,16954.1,20848.6,14298.3,23297.7,17721.0,19964.3,14618.1,14690.3,19779.1,21631.5,20631.0,16929.0,16404.0,17408.0,18618.0,19941.0,14885.0,17265.0,18358.0,14353.0,19649.0,18152.0,18018.0,15663.0,17642.0,19050.0,19503.0,14434.0,17484.0,15570.0,16549.0,17721.0,15065.0,14952.0,17770.0,19418.0,17011.0,17717.0,21019.0,20817.0,18117.0,18090.0,18263.0,23140.0,23300.0,21435.0,19161.0,25984.0,28956.0,22458.0
7,10775.4,12889.5,13056.5,11738.2,13541.1,14989.7,13414.0,14245.5,11416.2,13828.7,14299.3,14093.6,13929.9,10871.0,11215.0,12374.0,13064.0,16345.0,10731.0,10325.0,12764.0,12726.0,11854.0,11393.0,13279.0,16601.0,13143.0,11598.0,13520.0,12931.0,10867.0,10692.0,12964.0,14914.0,12497.0,11372.0,15212.0,11789.0,12001.0,14791.0,15414.0,15951.0,11840.0,16587.0,15004.0,14021.0,14897.0,15203.0,14998.0,18989.0,20254.0,15309.0
8,11397.8,12104.0,15989.9,15172.0,16293.2,20951.7,15239.5,15372.3,16057.5,13586.0,15682.2,14741.5,16286.6,13206.0,11917.0,15793.0,13662.0,16903.0,15455.0,14202.0,11335.0,13682.0,13675.0,12990.0,12626.0,13590.0,10911.0,13773.0,12706.0,11094.0,12063.0,11935.0,14038.0,12822.0,16305.0,16275.0,15612.0,16674.0,15249.0,13761.0,15376.0,14473.0,15225.0,14806.0,17667.0,13243.0,20150.0,15237.0,19212.0,17033.0,21934.0,14583.0
9,15660.7,14565.3,14471.6,17202.9,11439.9,19079.1,15632.7,15134.0,15749.0,16639.7,16079.6,15073.7,15987.0,14506.0,10979.0,13012.0,13254.0,13948.0,13326.0,15838.0,15641.0,12256.0,11794.0,12480.0,15280.0,14431.0,14552.0,14265.0,14918.0,14681.0,11942.0,14687.0,14836.0,17114.0,16950.0,15820.0,13695.0,13811.0,16829.0,16214.0,12573.0,12969.0,13281.0,13866.0,18367.0,19054.0,20622.0,14726.0,19215.0,19949.0,22656.0,18594.0
10,9817.9,10954.2,10802.3,13208.3,13381.7,14469.5,10355.4,12604.1,10437.2,13900.8,12039.8,12850.8,11812.5,12588.0,11394.0,9784.0,12951.0,12769.0,10461.0,12169.0,10444.0,12435.0,10452.0,10214.0,10982.0,13177.0,12993.0,10540.0,11525.0,12222.0,12919.0,9717.0,10343.0,13837.0,12540.0,9958.0,10207.0,12951.0,11579.0,10538.0,12412.0,13689.0,12160.0,13036.0,13600.0,14869.0,19014.0,10297.0,10777.0,18373.0,17533.0,13078.0
11,7817.3,10521.2,7588.2,11044.8,9878.2,9952.3,10813.4,10304.3,10900.9,10239.0,10358.5,10082.9,8970.6,7032.0,7410.0,8912.0,9855.0,10248.0,9525.0,9033.0,7531.0,9796.0,8281.0,7362.0,8057.0,9098.0,8654.0,8533.0,7681.0,7515.0,9055.0,7932.0,8859.0,9735.0,7763.0,10248.0,9343.0,7281.0,7494.0,10137.0,7526.0,8873.0,9287.0,10508.0,10557.0,12206.0,10519.0,9788.0,9821.0,11567.0,13996.0,12781.0
