StoreID,Store Type,Store Location,"Associates per Open Hour
Pre 4/5/2016","Associates per Open Hour
Post 4/5/2016",Open Time Pre 4/5/2016,Open Time Post 4/5/2016,Close Time Pre 4/5/2016,Close Time Post 4/5/2016,Store Age,"Population within 5mi
(1000s)",Competition within 5mi
1,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,8,388,45
2,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,38,66,45
3,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,36,13,6
4,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,39,4,8
5,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,20,111,3
6,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,36,269,6
7,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,22,115,3
8,Standalone,Urban,24,28,7:00,7:00,21:00,19:00,29,369,8
9,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,26,279,7
10,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,37,30,59
11,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,29,53,1
12,Strip Mall,Urban,24,26,7:00,7:00,21:00,20:00,9,390,10
13,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,35,151,18
14,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,15,55,63
15,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,30,8,50
16,Strip Mall,Urban,24,24,7:00,7:00,21:00,20:00,28,66,1
17,Strip Mall,Suburban,24,24,7:00,7:00,21:00,20:00,18,117,25
18,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,35,298,10
19,Strip Mall,Rural,24,24,7:00,7:00,21:00,20:00,22,35,20
20,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,39,75,6
21,Strip Mall,Urban,24,24,7:00,7:00,21:00,19:00,24,12,96
22,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,9,161,4
23,Strip Mall,Rural,24,24,7:00,7:00,21:00,21:00,14,55,1
24,Strip Mall,Suburban,24,24,7:00,7:00,21:00,20:00,31,5,8
25,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,3,4,18
26,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,16,276,12
27,Standalone,Metropolitan,24,24,7:00,7:00,21:00,21:00,21,135,63
28,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,20,6,6
29,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,4,91,3
30,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,36,136,6
31,Strip Mall,Urban,24,24,7:00,7:00,21:00,19:00,13,30,1
32,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,36,391,106
33,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,24,25,33
34,Standalone,Metropolitan,24,24,7:00,7:00,21:00,21:00,30,402,37
35,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,13,5,35
36,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,9,25,28
37,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,27,6,0
38,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,4,345,21
39,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,9,5,16
40,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,11,25,14
41,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,9,19,15
42,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,11,19,1
43,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,14,6,30
44,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,4,94,26
45,Standalone,Urban,24,28,7:00,7:00,21:00,19:00,18,225,32
46,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,7,71,26
47,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,17,97,8
48,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,40,3,12
49,Strip Mall,Metropolitan,24,24,7:00,7:00,21:00,21:00,41,442,11
50,Strip Mall,Suburban,24,26,7:00,7:00,21:00,20:00,10,134,6
51,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,40,26,88
52,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,35,75,27
53,Standalone,Urban,24,28,7:00,7:00,21:00,19:00,6,222,6
54,Strip Mall,Metropolitan,24,24,7:00,7:00,21:00,21:00,28,12,39
55,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,38,111,3
56,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,31,14,5
57,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,3,41,47
58,Strip Mall,Rural,24,24,7:00,7:00,21:00,21:00,25,30,1
59,Standalone,Suburban,24,24,7:00,7:00,21:00,20:00,41,210,8
60,Standalone,Metropolitan,24,24,7:00,7:00,21:00,21:00,21,69,53
61,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,7,214,5
62,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,31,12,1
63,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,17,32,25
64,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,33,35,2
65,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,21,46,52
66,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,39,453,43
67,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,32,115,58
68,Strip Mall,Rural,24,24,7:00,7:00,21:00,21:00,38,21,1
69,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,18,384,8
70,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,8,7,1
71,Strip Mall,Urban,24,24,7:00,7:00,21:00,19:00,21,400,31
72,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,27,75,54
73,Standalone,Metropolitan,24,24,7:00,7:00,21:00,21:00,27,49,103
74,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,15,113,18
75,Standalone,Suburban,24,26,7:00,7:00,21:00,20:00,25,87,4
76,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,17,725,41
77,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,27,276,6
78,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,2,259,74
79,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,39,129,3
80,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,30,203,9
81,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,23,189,88
82,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,12,50,26
83,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,27,23,1
84,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,36,157,40
85,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,16,5,6
86,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,11,441,10
87,Standalone,Urban,24,24,7:00,7:00,21:00,20:00,30,8,38
88,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,23,469,11
89,Strip Mall,Suburban,24,24,7:00,7:00,21:00,20:00,28,51,5
90,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,21,116,9
91,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,1,137,27
92,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,8,472,29
93,Strip Mall,Rural,24,24,7:00,7:00,21:00,21:00,22,273,61
94,Strip Mall,Rural,24,24,7:00,7:00,21:00,21:00,21,405,59
95,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,39,450,28
96,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,17,123,16
97,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,25,8,4
98,Standalone,Suburban,24,26,7:00,7:00,21:00,20:00,30,257,42
99,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,10,64,27
100,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,6,21,7
101,Standalone,Rural,24,28,7:00,7:00,21:00,19:00,11,55,26
102,Standalone,Suburban,24,24,7:00,7:00,21:00,19:00,21,61,2
103,Standalone,Metropolitan,24,24,7:00,7:00,21:00,20:00,31,133,21
104,Standalone,Urban,24,24,7:00,7:00,21:00,19:00,33,193,8
105,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,5,243,12
106,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,25,298,18
107,Strip Mall,Rural,24,24,7:00,7:00,21:00,21:00,37,5,10
108,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,19,48,4
109,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,19,412,8
110,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,10,6,23
111,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,11,105,9
112,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,36,220,14
113,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,13,241,5
114,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,14,21,1
115,Strip Mall,Metropolitan,24,24,7:00,7:00,21:00,21:00,25,384,9
116,Standalone,Suburban,24,24,7:00,7:00,21:00,19:00,34,210,14
117,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,17,4,56
118,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,5,123,4
119,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,24,446,65
120,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,22,89,5
121,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,6,213,97
122,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,41,119,9
123,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,2,173,7
124,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,35,20,67
125,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,11,6,79
126,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,23,55,2
127,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,13,58,61
128,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,30,274,9
129,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,34,251,6
130,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,9,158,13
131,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,8,67,3
132,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,20,157,5
133,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,26,73,2
134,Strip Mall,Rural,24,24,7:00,7:00,21:00,21:00,11,317,22
135,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,40,80,41
136,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,4,87,4
137,Standalone,Suburban,24,24,7:00,7:00,21:00,20:00,28,122,40
138,Standalone,Urban,24,24,7:00,7:00,21:00,20:00,17,243,12
139,Standalone,Metropolitan,24,24,7:00,7:00,21:00,21:00,15,13,28
140,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,15,475,11
141,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,27,60,2
142,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,38,51,2
143,Strip Mall,Metropolitan,24,24,7:00,7:00,21:00,21:00,41,94,2
144,Standalone,Metropolitan,24,24,7:00,7:00,21:00,21:00,26,15,1
145,Standalone,Rural,24,24,7:00,7:00,21:00,21:00,35,396,50
146,Strip Mall,Metropolitan,24,24,7:00,7:00,21:00,21:00,33,19,1
147,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,27,57,3
148,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,8,147,13
149,Standalone,Urban,24,24,7:00,7:00,21:00,21:00,6,106,15
150,Strip Mall,Metropolitan,24,24,7:00,7:00,21:00,21:00,24,24,5
151,Strip Mall,Metropolitan,24,24,7:00,7:00,21:00,21:00,39,221,90
152,Standalone,Urban,24,24,7:00,7:00,21:00,20:00,6,28,111
153,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,12,5,6
154,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,17,254,57
155,Standalone,Suburban,24,24,7:00,7:00,21:00,19:00,26,448,31
156,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,33,4,37
157,Strip Mall,Urban,24,24,7:00,7:00,21:00,21:00,18,339,19
158,Strip Mall,Rural,24,24,7:00,7:00,21:00,20:00,38,144,9
159,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,37,262,6
160,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,19,66,67
161,Strip Mall,Rural,24,24,7:00,7:00,21:00,21:00,37,179,9
162,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,41,5,3
163,Strip Mall,Rural,24,26,7:00,7:00,21:00,20:00,25,30,5
164,Standalone,Suburban,24,28,7:00,7:00,21:00,19:00,10,28,8
165,Standalone,Suburban,24,24,7:00,7:00,21:00,21:00,34,350,59
166,Strip Mall,Metropolitan,24,24,7:00,7:00,21:00,21:00,22,208,7
167,Strip Mall,Suburban,24,24,7:00,7:00,21:00,21:00,39,36,9
